Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENST00000358776.7,549.3749224253016,0.6115752134066395,0.10671808941220153,5.730754896148989,9.998465526272676e-09,5.059375048195888e-06
ENST00000205557.12,355.6441306001739,-0.5315948265254865,0.0927436689832032,-5.73187186094356,9.932830163322035e-09,5.059375048195888e-06
ENST00000266712.11,468.8084780241157,0.7078045960388683,0.12369696029458173,5.722085606252946,1.0522426118700636e-08,5.284473159191656e-06
ENST00000691590.1,27.21454385041665,1.6286264731154485,0.28498768176055667,5.714725854304824,1.0988102163281563e-08,5.477158924583797e-06
ENST00000305135.10,335.1637979722243,0.8876284066512846,0.15598465224893637,5.690485530811813,1.266786468306204e-08,6.26768410104034e-06
ENST00000651034.1,17.875165384180622,7.949244101792188,1.4001113640392402,5.67757987397451,1.366137415485377e-08,6.572998874709201e-06
ENST00000373548.8,593.1231677436666,0.4111713651161179,0.07239334711458861,5.679684411680687,1.3494348976445516e-08,6.572998874709201e-06
ENST00000265109.8,519.4368807991663,-1.2324884329711976,0.21708287032470464,-5.677502011686534,1.3667592012154423e-08,6.572998874709201e-06
ENST00000372838.9,1233.7062983438525,-0.6402596357423797,0.11277409278318928,-5.677364543054167,1.3678576572515179e-08,6.572998874709201e-06
ENST00000701598.1,25.524322518027194,-7.825030178466843,1.3799925110074753,-5.670342495376379,1.4251233357851533e-08,6.7992634350309666e-06
ENST00000359944.10,1416.8267639363373,0.3924976554045102,0.06934894797029623,5.659749237618227,1.5159433943427096e-08,7.18127114054801e-06
ENST00000222803.10,251.43793630901314,0.674657671422492,0.11925591511062897,5.6572260654462205,1.5383907602662176e-08,7.236286791635334e-06
ENST00000392366.7,329.87136086137406,-0.9739045960571732,0.17232540947542793,-5.651543780002121,1.590131741986383e-08,7.427360809387305e-06
ENST00000437898.3,131.85680119278283,-1.4111759222037958,0.2500875702508684,-5.6427271486872135,1.6737749159571333e-08,7.763758453919497e-06
ENST00000491612.1,61.90763582068025,-1.308678104972254,0.232904307093309,-5.618951926243061,1.921192985528758e-08,8.84994236382123e-06
ENST00000367888.8,598.5904752884236,0.4622889600583003,0.08237543599302032,5.611975881954302,2.0002932255946915e-08,9.151204500710398e-06
ENST00000506605.6,79.05941818747189,1.3558156804510146,0.24192140949541685,5.604364174625481,2.090208233693212e-08,9.4975080790003e-06
ENST00000225972.8,1291.3774616100025,0.3036451176170521,0.05423209295132754,5.5989931623986715,2.1560030029609405e-08,9.73027463376845e-06
ENST00000521659.5,476.399944572125,-1.4347421062860763,0.25634195251310427,-5.596985168523018,2.1811135834712194e-08,9.777536959354135e-06
ENST00000567819.1,51.85425154636184,-0.9638617185312648,0.17228452061619767,-5.594592683567217,2.2114031200282544e-08,9.847230666611148e-06
ENST00000343876.6,791.832140034012,1.025401176077196,0.18345855996163846,5.589279542429686,2.2801363968602858e-08,1.0086054999462644e-05
ENST00000298090.10,56.53209677080569,1.6807475069383477,0.3007822562296186,5.587921069570198,2.2980404334865616e-08,1.0098375836467197e-05
ENST00000263265.11,278.7719597735068,1.350660341549773,0.241858636517185,5.584503249499645,2.3436913593756605e-08,1.0231668016871756e-05
ENST00000434045.6,28.153992997071935,3.3043992108529907,0.59313076492653,5.571114172879399,2.5311537959705587e-08,1.0978304327795942e-05
ENST00000284551.11,331.4737647079303,-0.5463308931918709,0.09812172669349531,-5.567889106746511,2.5784382511993734e-08,1.1111239003265222e-05
